Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-12-07,Debt collection,Private student loan debt,False statements or representation,Attempted to collect wrong amount,"The law office of Glassen, Rheade, McLean, Campbell in XXXX Michigan are trying to charge me interest that is unsupported by contract. We had no interest contract at all it was a misunderstanding with student loans. They never told me I owed til after the fact. XXXX XXXX is a crooked deceptive liar who lied to me about the amount of the debt. He included interest I didn't agree to at all. They are thieves and vipers.",,Glassen Rhead Mclean Campbell & Schumaker P.L.C.,MI,48906,,Consent provided,Web,2025-01-28,Closed with explanation,Yes,,11069282
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX  account number : XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX Subject : Cease and Desist Request Alleged Debt Dear XXXX XXXX, I, XXXX XXXX, am requesting that you cease all communication with me regarding the alleged debt, pursuant to theFair Debt Collection Practices Act ( 15 U.S.C. 1692c ( c ) ). Under this law, you must stop contacting me except to confirm the cessation of collection efforts or to notify me of legal action. 
I also remind you of your obligations under15 U.S.C. 1692to avoid any unfair, deceptive, or abusive practices. Failure to comply with this request may result in complaints to theConsumer Financial Protection Bureau ( CFPB ) or legal action. 
As of the date of this letter : 1. I do not acknowledge the validity of the alleged debt. 
2. You are instructed to stop all communication with me immediately. ( that includes credit reporting ) The only communications I will accept moving forward are : Written confirmation that you have ceased collection efforts. 
Notification of any legal actions you intend to take. 
Please confirm receipt of this letter and compliance within15 business days to avoid arbitration. 
Sincerely, XXXX XXXX",,PORTFOLIO RECOVERY ASSOCIATES INC,NY,11422,,Consent provided,Web,2025-02-07,Closed with explanation,No,,11070622
2024-12-07,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,,,Resurgent Capital Services L.P.,TX,77079,Older American,Consent not provided,Web,2024-12-07,Closed with non-monetary relief,Yes,,11066523
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,10950,,Consent not provided,Web,2024-12-07,Closed with explanation,Yes,,11054496
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,93274,,Consent not provided,Web,2024-12-07,Closed with explanation,Yes,,11053310
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92124,Servicemember,Consent not provided,Web,2024-12-07,Closed with explanation,Yes,,11070701
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Difficulty submitting a dispute or getting information about a dispute over the phone,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30236,,Consent not provided,Web,2024-12-07,Closed with explanation,Yes,,11067160
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,76541,Servicemember,Consent not provided,Web,2024-12-07,Closed with explanation,Yes,,11070735
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"Under 15 U.S Code 1681e ( b ) Accuracy of report Whenever a consumer reporting agency prepares a consumer report. It shall follow reasonable procedures to assure the maximum possible accuracy of the information concerning the individual about whom the report relates. 15 U.S. Code 1681i ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In general if, after any reinvestigation under paragraph ( 1 ) of any information dispute by a consumer, an team of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall- ( i ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, base on the results of the reinvestigation; and ( 1 ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer. U.S Code 1681a-Definitions ; rules of construction, ( 1 ) In General-The terms consumer report Means any written, oral, or other communication of any information by consumer reporting agency bearing on a consumers credit worthiness, credit standing, credit capacity, character, general reputation, personal characteristics, or mode of living which is used or expected to be used or collected in whole or in part for the purpose of serving as a factor in establishing the consumers eligibility for ( A ) credit or insurance to be used primarily for personal, family, or household purposes ; ( B ) employment purposes ; or ( C ) any other purpose authorized under section 1681b of this title Recently, I did an investigation on my credit report and found several items on there to be inaccurate Chase Auto Loan information on my report is inaccurate, this account has been paid as to the terms of the agreement I ask that this be reverse to pay as agreed. Please reverse the following item, immediately",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,OR,97132,,Consent provided,Web,2024-12-07,Closed with non-monetary relief,Yes,,11070875
2024-12-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"XXXX XXXX XXXX, Opened XX/XX/XXXX with a balance of XXXX. 
XXXX XXXX XXXX, opened XX/XX/XXXX with a balance of XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IN,47712,,Consent provided,Web,2024-12-07,Closed with non-monetary relief,Yes,,11053013
