Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-12-25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"CCS Financial Services, Inc.",GA,30047,,Consent not provided,Web,2025-01-08,Closed with explanation,No,,11260814
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,34982,,Consent not provided,Web,2024-12-26,Closed with non-monetary relief,Yes,,11260166
2024-12-25,Credit card,Store credit card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"Few months back -- I did not recognized all the charges to my Home Depot card. I called Citi Bank the one issue this Home Depot card to tell them those are not my and I am not aware it or authorized any one to use it. The bank took those charge off my account, but around a month later there is a agent from Citi Bank asked me that I give my card to any one. I responded that I have two credit cards -- I give the one with XXXX to my son who lived in XXXX  for emergency case. I did not know why it translate to this agent to I give out my Home Depot card. After that I had been calling numerous times to the bank to fix the issue, but no response.Then certainly my Best Buy store card got charge $ XXXX something. This time I think the bank fabricated these charge or someone charged. I told the bank agent that I stop use this store card for a while and I had $ XXXX credit on this card. Nothing resolve just run around this issue.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,95134,Older American,Consent provided,Web,2024-12-25,Closed with non-monetary relief,Yes,,11263834
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"In XXXX as my credit report will reflect, I declared a XXXX XXXX XXXX to shed myself of the predatory lenders XXXX. My husband was awarded the property in question in a divorce settlement. They continue to associate my name with this mortgage. It has caused me irreparable harm for the last 12 years. Thats why I declared the bankruptcy! For a short time it was removed from my credit report, but suddenly with XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX yet another predatory lender it has reappeared on my credit report further causing damage to my score. I want it removed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,VA,XXXXX,,Consent provided,Web,2024-12-26,Closed with explanation,Yes,,11262375
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,77568,,Consent not provided,Web,2024-12-25,Closed with explanation,Yes,,11262857
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33463,,Consent not provided,Web,2024-12-25,Closed with explanation,Yes,,11260304
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MS,39157,,Consent not provided,Web,2024-12-25,Closed with explanation,Yes,,11263464
2024-12-25,Debt or credit management,Credit repair services,Confusing or misleading advertising or marketing,,XXXX XXXX misleading me and taking money from my account directly from me. With out fixing my report.,,"EQUIFAX, INC.",TX,77083,"Older American, Servicemember",Consent provided,Web,2024-12-25,Closed with explanation,Yes,,11259576
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33147,,Consent not provided,Web,2024-12-25,Closed with non-monetary relief,Yes,,11262349
2024-12-25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,"To whom ever this may concern, XXXX XXXX XXXX XXXX XXXX XXXX. My wallet was taken and also my XXXX XXXX handbag worth XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX The maxed out all of my credit cards and also stole all of my credentials and began signing up for accounts damaging my credit score costing me around XXXX $ in credit repairs just too, stop from being homeless due too negligence on my credit report. This has been the worst time of my life, a complete nightmare for my XXXX XXXX daughter too have too look at me and see my face and body this way. The company has not done anything and they have not processed me any sort of refund. Ive been treated unfair and feel as if Ive been discriminated against. I would really like the XXXX XXXX XXXX XXXX owes me. Theres so many dates and documents that I will attache them below. Im just lost for words because how can they let someone do this too me then try too hold me accountable I really hope someone hear my cry for help this has been so rough being a victim of identity theft and nothing being done about it as well as someone stealing my credit card and maxing them out. I would really like some sort of compensation and the cfpb too investigate the accounts that XXXX XXXX XXXX  has in its data base of mine. I would also like too ask that the cfpb ask for any documents that Ive sent XXXX XXXX XXXX. This has been the worst situation Ive ever been in, in my life. Leaving me and my daughter almost homeless from this situation. I really hope someone can investigate this and reach back out too me as soon as possible thank you so much I appreciate all of your help.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,146XX,,Consent provided,Web,2024-12-25,Closed with non-monetary relief,Yes,,11263827
